A/C,R,UO,N,O,U,RU,RO
banana NR,0.386554622,0,0.016806723,0.159663866,0.378151261,0.025210084,0.033613445
banana LR,0.173913043,0,0.043478261,0.217391304,0.434782609,0.043478261,0.086956522
banana KR,0.345945946,0.009009009,0.01981982,0.207207207,0.363963964,0.025225225,0.028828829
beans MR,0.333333333,0,0,0.166666667,0.5,0,0
beans NR,0.364779874,0.008385744,0.014675052,0.203354298,0.34591195,0.031446541,0.031446541
beans LR,0.291262136,0.009708738,0.019417476,0.106796117,0.504854369,0.019417476,0.048543689
beans KR,0.321428571,0,0.044642857,0.267857143,0.339285714,0.008928571,0.017857143
beetroot MR,0.6,0,0,0,0.4,0,0
beetroot NR,0.337777778,0.004444444,0.035555556,0.168888889,0.4,0.035555556,0.017777778
beetroot LR,0.232876712,0,0.01369863,0.232876712,0.452054795,0,0.068493151
beetroot KR,0.369620253,0.010126582,0.012658228,0.212658228,0.336708861,0.025316456,0.032911392
brinjal NR,0.384196185,0.008174387,0.024523161,0.209809264,0.316076294,0.027247956,0.029972752
brinjal LR,0.361581921,0.005649718,0.011299435,0.18079096,0.355932203,0.04519774,0.039548023
brinjal KR,0.231884058,0.007246377,0.02173913,0.195652174,0.514492754,0,0.028985507
brinjal MR,0.266666667,0,0,0.2,0.533333333,0,0
brinjal HR,1,0,0,0,0,0,0
cabbage MR,0.4,0,0,0,0.6,0,0
cabbage NR,0.322033898,0.008474576,0.016949153,0.203389831,0.395480226,0.028248588,0.025423729
cabbage LR,0.423728814,0,0.016949153,0.152542373,0.355932203,0.016949153,0.033898305
cabbage KR,0.360714286,0.007142857,0.025,0.207142857,0.335714286,0.025,0.039285714
capsicum NR,0.328767123,0,0.01369863,0.232876712,0.369863014,0.04109589,0.01369863
capsicum LR,0.25,0,0,0.25,0.25,0,0.25
capsicum KR,0.349436393,0.00805153,0.020933977,0.194847021,0.37037037,0.024154589,0.032206119
chillie MR,1,0,0,0,0,0,0
chillie NR,0.365853659,0,0.024390244,0.170731707,0.390243902,0.024390244,0.024390244
chillie LR,0,0,0,0,1,0,0
chillie KR,0.345565749,0.00764526,0.019877676,0.201834862,0.366972477,0.025993884,0.032110092
cauliflower MR,0,0,0,0.5,0.5,0,0
cauliflower NR,0.352941176,0.011764706,0.005882353,0.2,0.4,0.017647059,0.011764706
cauliflower LR,0.323529412,0,0.029411765,0.147058824,0.470588235,0.029411765,0
cauliflower KR,0.348979592,0.006122449,0.024489796,0.2,0.351020408,0.028571429,0.040816327
carrot MR,0,0,0,0,1,0,0
carrot NR,0.363809524,0.007619048,0.019047619,0.188571429,0.363809524,0.026666667,0.03047619
carrot LR,0.279069767,0,0.011627907,0.197674419,0.430232558,0.046511628,0.034883721
carrot KR,0.329268293,0.012195122,0.036585366,0.280487805,0.304878049,0,0.036585366
chowchow NR,0.3625,0,0.0125,0.1625,0.4,0.025,0.0375
chowchow LR,0.6,0,0,0,0.4,0,0
chowchow KR,0.342577488,0.008156607,0.021207178,0.205546493,0.365415987,0.026101142,0.030995106
corn NR,0.24137931,0,0,0.24137931,0.517241379,0,0
corn LR,1,0,0,0,0,0,0
corn KR,0.350299401,0.00748503,0.020958084,0.19760479,0.363772455,0.026946108,0.032934132
cucumber NR,0.357142857,0,0,0.214285714,0.380952381,0.047619048,0
cucumber LR,0.454545455,0,0,0,0.545454545,0,0
cucumber KR,0.344186047,0.007751938,0.021705426,0.201550388,0.365891473,0.024806202,0.034108527
drumstick MR,0.166666667,0,0,0.166666667,0.666666667,0,0
drumstick NR,0.35625,0.008333333,0.020833333,0.214583333,0.339583333,0.027083333,0.033333333
drumstick LR,0.269230769,0.007692308,0.023076923,0.146153846,0.5,0.030769231,0.023076923
drumstick KR,0.447368421,0,0.013157895,0.197368421,0.289473684,0.013157895,0.039473684
greens NR,0.363408521,0.010025063,0.020050125,0.200501253,0.348370927,0.025062657,0.032581454
greens LR,0.28,0.006666667,0.033333333,0.186666667,0.433333333,0.033333333,0.026666667
greens KR,0.389312977,0,0,0.229007634,0.320610687,0.022900763,0.038167939
greens MR,0.235294118,0,0.058823529,0.058823529,0.647058824,0,0
greens HR,0,0,0,0,1,0,0
gourds MR,0.5,0,0,0.5,0,0,0
gourds NR,0.36038961,0.00974026,0.022727273,0.207792208,0.353896104,0.022727273,0.022727273
gourds LR,0.291666667,0.020833333,0.020833333,0.1875,0.4375,0.020833333,0.020833333
gourds KR,0.341176471,0.002941176,0.017647059,0.191176471,0.376470588,0.029411765,0.041176471
kovaikai MR,0,0,0,0,1,0,0
kovaikai NR,0.469387755,0.020408163,0,0.142857143,0.306122449,0.020408163,0.040816327
kovaikai LR,0.3,0,0,0,0.7,0,0
kovaikai KR,0.338557994,0.006269592,0.021943574,0.206896552,0.368338558,0.026645768,0.031347962
kothavarai NR,0.208333333,0,0,0.166666667,0.583333333,0,0.041666667
kothavarai LR,0.5,0,0,0,0.5,0,0
kothavarai KR,0.351190476,0.007440476,0.020833333,0.200892857,0.361607143,0.026785714,0.03125
Lfinger MR,0,0,0,0,1,0,0
Lfinger NR,0.334042553,0.00212766,0.025531915,0.191489362,0.378723404,0.031914894,0.036170213
Lfinger LR,0.327586207,0.017241379,0.017241379,0.189655172,0.396551724,0.034482759,0.017241379
Lfinger KR,0.392857143,0.017857143,0.005952381,0.226190476,0.327380952,0.005952381,0.023809524
malli MR,1,0,0,0,0,0,0
malli NR,0.410714286,0,0.017857143,0.25,0.267857143,0.017857143,0.035714286
malli LR,0.352941176,0,0.058823529,0.117647059,0.411764706,0,0.058823529
malli KR,0.33974359,0.008012821,0.019230769,0.197115385,0.378205128,0.02724359,0.030448718
mango NR,0.315789474,0.01754386,0.026315789,0.201754386,0.403508772,0.00877193,0.026315789
mango LR,0.555555556,0,0,0,0.444444444,0,0
mango KR,0.349565217,0.005217391,0.019130435,0.20173913,0.36173913,0.029565217,0.033043478
mushroom NR,0.4,0,0,0.2,0.3,0.05,0.05
mushroom LR,0.6,0,0,0.2,0.2,0,0
mushroom KR,0.343239227,0.007429421,0.020802377,0.19910847,0.372956909,0.02526003,0.031203566
nuckol NR,0.351351351,0,0,0.135135135,0.459459459,0.027027027,0.027027027
nuckol LR,0.5,0,0,0,0.5,0,0
nuckol KR,0.345978756,0.007587253,0.02124431,0.203338392,0.364188164,0.025796662,0.031866464
onion MR,0.333333333,0,0,0.166666667,0.5,0,0
onion NR,0.361842105,0.006578947,0.018092105,0.192434211,0.358552632,0.029605263,0.032894737
onion LR,0.21875,0.015625,0.03125,0.203125,0.53125,0,0
onion KR,0.3,0,0.05,0.4,0.15,0,0.1
peas MR,0,0,0,0,1,0,0
peas NR,0.333333333,0.011299435,0.005649718,0.197740113,0.384180791,0.02259887,0.04519774
peas LR,0.340909091,0,0.045454545,0.181818182,0.363636364,0,0.068181818
peas KR,0.35443038,0.006329114,0.023206751,0.202531646,0.360759494,0.029535865,0.023206751
potroot MR,0.5,0,0,0,0.5,0,0
potroot NR,0.357142857,0.012605042,0.025210084,0.235294118,0.302521008,0.029411765,0.037815126
potroot LR,0.342857143,0.028571429,0,0.085714286,0.485714286,0.028571429,0.028571429
potroot KR,0.340425532,0.002364066,0.01891253,0.189125296,0.397163121,0.023640662,0.028368794
paneer NR,0.466666667,0,0,0.266666667,0.266666667,0,0
paneer LR,0.571428571,0,0,0,0.428571429,0,0
paneer KR,0.341715976,0.00739645,0.020710059,0.199704142,0.371301775,0.026627219,0.032544379
potato MR,0,0,0,0,1,0,0
potato NR,0.353965184,0.003868472,0.027079304,0.208897485,0.352030948,0.025145068,0.02901354
potato LR,0.27027027,0.013513514,0,0.175675676,0.432432432,0.040540541,0.067567568
potato KR,0.367924528,0.018867925,0,0.169811321,0.405660377,0.018867925,0.018867925
pumkin NR,0.2,0.028571429,0.028571429,0.371428571,0.342857143,0.028571429,0
pumkin LR,0.111111111,0,0,0,0.555555556,0.111111111,0.222222222
pumkin KR,0.357798165,0.006116208,0.019877676,0.19266055,0.368501529,0.024464832,0.03058104
pudina MR,0,0,0,0,1,0,0
pudina NR,0.35,0,0.033333333,0.25,0.266666667,0.016666667,0.083333333
pudina LR,0.153846154,0,0,0.153846154,0.692307692,0,0
pudina KR,0.350961538,0.008012821,0.019230769,0.195512821,0.371794872,0.02724359,0.02724359
radish MR,0,0,0,0,1,0,0
radish NR,0.379746835,0.004219409,0.033755274,0.181434599,0.345991561,0.021097046,0.033755274
radish LR,0.210526316,0.026315789,0.026315789,0.105263158,0.5,0.078947368,0.052631579
radish KR,0.342042755,0.007125891,0.011876485,0.218527316,0.368171021,0.023752969,0.028503563
tomato MR,0,0,0,0.333333333,0.333333333,0,0.333333333
tomato NR,0.353923205,0.008347245,0.021702838,0.198664441,0.357262104,0.026711185,0.033388982
tomato LR,0.302631579,0,0,0.184210526,0.473684211,0.026315789,0.013157895
tomato KR,0.35,0,0.05,0.25,0.35,0,0
tondaikai NR,0.25,0,0,0.1875,0.4375,0.0625,0.0625
tondaikai KR,0.348973607,0.007331378,0.020527859,0.19941349,0.368035191,0.024926686,0.030791789
vazpooThandu NR,0.337078652,0.011235955,0.033707865,0.280898876,0.292134831,0.02247191,0.02247191
vazpooThandu LR,0.333333333,0,0,0.041666667,0.625,0,0
vazpooThandu KR,0.348717949,0.006837607,0.018803419,0.193162393,0.370940171,0.027350427,0.034188034
yams MR,0.666666667,0,0,0,0.333333333,0,0
yams NR,0.348314607,0,0.011235955,0.213483146,0.325842697,0.011235955,0.08988764
yams LR,0.333333333,0,0,0.166666667,0.416666667,0.083333333,0
yams KR,0.345360825,0.008591065,0.02233677,0.199312715,0.374570447,0.025773196,0.024054983
gram NR,0.343137255,0.004901961,0.019607843,0.203431373,0.37254902,0.022058824,0.034313725
gram LR,0.322274882,0.014218009,0.028436019,0.180094787,0.383886256,0.042654028,0.028436019
gram KR,0.3,0,0,0.3,0.3,0,0.1
gram MR,0.454545455,0,0,0.196969697,0.333333333,0,0.015151515
gram HR,0.333333333,0,0,0.666666667,0,0,0
channa NR,0.3046875,0,0.0078125,0.203125,0.4453125,0.01953125,0.01953125
channa LR,0.381818182,0.012121212,0.024242424,0.16969697,0.333333333,0.03030303,0.048484848
channa ?,0,0,0,0.5,0.5,0,0
channa KR,0.362694301,0.015544041,0.031088083,0.227979275,0.310880829,0.020725389,0.031088083
channa MR,0.383561644,0,0.02739726,0.150684932,0.356164384,0.054794521,0.02739726
channa HR,0.333333333,0,0,0.333333333,0.222222222,0,0.111111111
dhal MR,0,0,0,0.125,0.625,0,0.25
dhal NR,0.355752212,0.007079646,0.019469027,0.201769912,0.359292035,0.028318584,0.028318584
dhal LR,0.289473684,0.013157895,0.013157895,0.184210526,0.447368421,0.013157895,0.039473684
dhal KR,0.387755102,0,0.040816327,0.204081633,0.326530612,0.020408163,0.020408163
maida MR,0.3,0,0,0.3,0.3,0,0.1
maida NR,0.332432432,0.005405405,0.021621622,0.235135135,0.343243243,0.032432432,0.02972973
maida LR,0.32231405,0.016528926,0.024793388,0.107438017,0.495867769,0.016528926,0.016528926
maida KR,0.390862944,0.005076142,0.015228426,0.182741117,0.345177665,0.020304569,0.040609137
oats MR,1,0,0,0,0,0,0
oats NR,0.404761905,0,0.023809524,0.166666667,0.333333333,0.071428571,0
oats LR,0.333333333,0,0,0.333333333,0.333333333,0,0
oats KR,0.34202454,0.007668712,0.01993865,0.200920245,0.372699387,0.023006135,0.033742331
ragi NR,0.361111111,0.027777778,0,0.222222222,0.361111111,0.027777778,0
ragi LR,0.25,0,0.125,0.125,0.25,0.125,0.125
ragi KR,0.347094801,0.006116208,0.019877676,0.198776758,0.371559633,0.024464832,0.032110092
rice NR,0.125,0,0.125,0.25,0.5,0,0
rice LR,0,0,0,0,1,0,0
rice KR,0.350290698,0.007267442,0.018895349,0.199127907,0.36627907,0.026162791,0.031976744
wheat MR,0.333333333,0,0,0,0.666666667,0,0
wheat NR,0.34751773,0.007092199,0.024822695,0.209219858,0.354609929,0.026595745,0.030141844
wheat LR,0.347222222,0,0,0.111111111,0.430555556,0.041666667,0.069444444
wheat KR,0.338983051,0.016949153,0,0.220338983,0.423728814,0,0
coconut MR,0,0,0,0,1,0,0
coconut NR,0.341463415,0.011086475,0.026607539,0.210643016,0.352549889,0.026607539,0.031042129
coconut LR,0.245614035,0,0.01754386,0.175438596,0.473684211,0.035087719,0.052631579
coconut KR,0.397849462,0,0.005376344,0.182795699,0.365591398,0.021505376,0.02688172
oil NR,0.395348837,0,0.023255814,0.139534884,0.372093023,0,0.069767442
oil LR,0.3,0,0,0,0.7,0,0
oil KR,0.344186047,0.007751938,0.020155039,0.20620155,0.364341085,0.027906977,0.029457364
garlic MR,0,0,0,0,1,0,0
garlic NR,0.342948718,0.006410256,0.016025641,0.163461538,0.413461538,0.019230769,0.038461538
garlic LR,0.418604651,0,0.023255814,0.11627907,0.418604651,0,0.023255814
garlic KR,0.343108504,0.008797654,0.023460411,0.24340176,0.319648094,0.035190616,0.026392962
ginger NR,0.341176471,0.011764706,0.019607843,0.145098039,0.419607843,0.019607843,0.043137255
ginger LR,0.238095238,0,0,0.142857143,0.595238095,0,0.023809524
ginger KR,0.361111111,0.005050505,0.022727273,0.242424242,0.310606061,0.032828283,0.025252525
ginger MR,0.5,0,0,0,0.5,0,0
ginger HR,0,0,0,0,1,0,0
pepper MR,0.5,0,0,0,0.5,0,0
pepper NR,0.323943662,0.014084507,0.028169014,0.197183099,0.366197183,0,0.070422535
pepper LR,0.32,0,0,0.12,0.48,0,0.08
pepper KR,0.349498328,0.006688963,0.02006689,0.204013378,0.364548495,0.030100334,0.025083612
tamarind MR,0,0,0,0,1,0,0
tamarind NR,0.354354354,0.003003003,0.012012012,0.174174174,0.381381381,0.024024024,0.051051051
tamarind LR,0.316666667,0.033333333,0.016666667,0.15,0.4,0.016666667,0.066666667
tamarind KR,0.345394737,0.006578947,0.029605263,0.236842105,0.348684211,0.029605263,0.003289474
aginomoto MR,0,0,0,0,1,0,0
aginomoto NR,0.346666667,0.013333333,0,0.173333333,0.373333333,0.026666667,0.066666667
aginomoto LR,0.142857143,0,0,0.142857143,0.714285714,0,0
aginomoto KR,0.349593496,0.006504065,0.022764228,0.203252033,0.364227642,0.02601626,0.027642276
spices MR,0,0,0,0,1,0,0
spices NR,0.294117647,0,0.029411765,0.205882353,0.382352941,0,0.088235294
spices LR,0.111111111,0,0,0,0.777777778,0,0.111111111
spices KR,0.353211009,0.00764526,0.019877676,0.201834862,0.362385321,0.027522936,0.027522936
coco NR,0.416666667,0,0,0.25,0.333333333,0,0
coco LR,0.5,0,0,0,0.5,0,0
coco KR,0.34502924,0.007309942,0.020467836,0.198830409,0.369883041,0.026315789,0.032163743
horlicks KR,0.346704871,0.007163324,0.020057307,0.199140401,0.369627507,0.025787966,0.031518625
boost NR,1,0,0,0,0,0,0
boost KR,0.345767575,0.007173601,0.020086083,0.199426112,0.370157819,0.025824964,0.031563845
nuts KR,0.346704871,0.007163324,0.020057307,0.199140401,0.369627507,0.025787966,0.031518625
runningnose no,0.089244851,0.006864989,0.022883295,0.281464531,0.581235698,0.004576659,0.013729977
runningnose yes,0.777777778,0.007662835,0.01532567,0.061302682,0.01532567,0.061302682,0.061302682
sneeze no,0.039473684,0.005263158,0.023684211,0.268421053,0.65,0.002631579,0.010526316
sneeze yes,0.713836478,0.009433962,0.01572327,0.116352201,0.034591195,0.053459119,0.056603774
cough no,0.085051546,0.010309278,0.023195876,0.208762887,0.641752577,0.018041237,0.012886598
cough yes,0.674193548,0.003225806,0.016129032,0.187096774,0.029032258,0.035483871,0.05483871
wheezeBlocks no,0.143939394,0.005050505,0.025252525,0.179292929,0.618686869,0.022727273,0.005050505
wheezeBlocks yes,0.612582781,0.009933775,0.013245033,0.225165563,0.043046358,0.029801325,0.066225166
headache no,0.3,0.00862069,0.017241379,0.2,0.424137931,0.027586207,0.022413793
headache yes,0.576271186,0,0.033898305,0.194915254,0.101694915,0.016949153,0.076271186
itching no,0.642857143,0,0.016483516,0.28021978,0.008241758,0,0.052197802
itching yes,0.023952096,0.01497006,0.023952096,0.110778443,0.763473054,0.053892216,0.008982036
swelling no,0.56501182,0,0.014184397,0.31678487,0.047281324,0.004728132,0.052009456
swelling yes,0.010909091,0.018181818,0.029090909,0.018181818,0.865454545,0.058181818,0
redrashes no,0.557109557,0,0.016317016,0.321678322,0.046620047,0.006993007,0.051282051
redrashes yes,0.011152416,0.018587361,0.026022305,0.003717472,0.884758364,0.055762082,0
FHistory no,0.328605201,0.007092199,0.021276596,0.174940898,0.420803783,0.01891253,0.028368794
FHistory yes,0.374545455,0.007272727,0.018181818,0.236363636,0.290909091,0.036363636,0.036363636
Sex m,0.390243902,0.00304878,0.021341463,0.18597561,0.344512195,0.018292683,0.036585366
Sex f,0.308943089,0.010840108,0.01897019,0.208672087,0.39295393,0.032520325,0.027100271
Sex ?,0,0,0,1,0,0,0
