A/C,UO,RO,RU,N,U,O,R
mango LR,0.095238095,0.047619048,0.047619048,0.095238095,0.238095238,0.333333333,0.142857143
mango MR,0.142857143,0.142857143,0.142857143,0,0.571428571,0,0
mushroom HR,0,0,0,0.6,0.2,0.2,0
mushroom KR,0.072438163,0.090106007,0.086572438,0.104240283,0.238515901,0.155477032,0.252650177
mushroom NR,0.096774194,0.080645161,0.056451613,0.032258065,0.35483871,0.14516129,0.233870968
mushroom LR,0,0.045454545,0.227272727,0.090909091,0.045454545,0.227272727,0.363636364
mushroom MR,0.166666667,0,0,0,0.333333333,0.166666667,0.333333333
nuckol HR,0.5,0,0,0.5,0,0,0
nuckol KR,0.075734158,0.081916538,0.085007728,0.092735703,0.245749614,0.157650696,0.261205564
nuckol NR,0.066666667,0.133333333,0.05,0.033333333,0.333333333,0.166666667,0.216666667
nuckol LR,0,0.076923077,0.153846154,0.384615385,0.307692308,0.076923077,0
nuckol MR,0,0,1,0,0,0,0
onion HR,0.166666667,0.333333333,0,0,0.333333333,0,0.166666667
onion KR,0,0,0.052631579,0.701754386,0.070175439,0.070175439,0.105263158
onion NR,0.075,0.092307692,0.084615385,0.048076923,0.265384615,0.163461538,0.271153846
onion LR,0.117647059,0.068627451,0.088235294,0.019607843,0.274509804,0.166666667,0.264705882
onion MR,0.052631579,0.131578947,0.131578947,0.026315789,0.289473684,0.184210526,0.184210526
peas HR,0,0,0,0,1,0,0
peas KR,0.0875,0.1,0.064583333,0.110416667,0.2625,0.139583333,0.235416667
peas NR,0.046632124,0.067357513,0.124352332,0.046632124,0.21761658,0.196891192,0.300518135
peas LR,0.052631579,0.026315789,0.157894737,0.157894737,0.289473684,0.131578947,0.184210526
peas MR,0.1,0,0,0,0.2,0.3,0.4
potroot HR,0,0.333333333,0.166666667,0,0,0.333333333,0.166666667
potroot KR,0.073394495,0.082568807,0.064220183,0.123853211,0.252293578,0.178899083,0.224770642
potroot NR,0.076923077,0.095022624,0.108597285,0.058823529,0.257918552,0.104072398,0.298642534
potroot LR,0.12195122,0.048780488,0.12195122,0.024390244,0.292682927,0.12195122,0.268292683
potroot MR,0,0.052631579,0.157894737,0,0.210526316,0.263157895,0.315789474
paneer HR,0,0,0,0,0.5,0.5,0
paneer KR,0.076521739,0.088695652,0.076521739,0.114782609,0.252173913,0.156521739,0.234782609
paneer NR,0.070175439,0.087719298,0.131578947,0.01754386,0.236842105,0.149122807,0.307017544
paneer LR,0.090909091,0.045454545,0.045454545,0,0.409090909,0.136363636,0.272727273
paneer MR,0,0,0.1,0,0.1,0.2,0.6
potato HR,0.2,0.1,0.1,0,0.2,0.1,0.3
potato KR,0.086614173,0.05511811,0.070866142,0.362204724,0.181102362,0.133858268,0.11023622
potato NR,0.071895425,0.093681917,0.074074074,0.043572985,0.237472767,0.165577342,0.31372549
potato LR,0.041237113,0.082474227,0.144329897,0.020618557,0.350515464,0.18556701,0.175257732
potato MR,0.133333333,0.1,0.1,0,0.5,0.033333333,0.133333333
pumkin HR,0,0,1,0,0,0,0
pumkin KR,0.070607553,0.085385878,0.072249589,0.10180624,0.251231527,0.159277504,0.259441708
pumkin NR,0.108433735,0.084337349,0.084337349,0.072289157,0.277108434,0.180722892,0.192771084
pumkin LR,0.083333333,0.125,0.291666667,0,0.166666667,0.041666667,0.291666667
pumkin MR,0,0,0.333333333,0,0.5,0,0.166666667
pudina HR,0.2,0.2,0.2,0,0,0.2,0.2
pudina KR,0.070850202,0.082995951,0.08097166,0.107287449,0.240890688,0.149797571,0.267206478
pudina NR,0.088235294,0.094117647,0.082352941,0.052941176,0.282352941,0.170588235,0.229411765
pudina LR,0.058823529,0.058823529,0.088235294,0.088235294,0.352941176,0.088235294,0.264705882
pudina MR,0.05,0.1,0.15,0.15,0.2,0.3,0.05
radish HR,0,0.5,0,0,0.5,0,0
radish KR,0.059322034,0.081920904,0.087570621,0.146892655,0.237288136,0.149717514,0.237288136
radish NR,0.087837838,0.081081081,0.077702703,0.050675676,0.280405405,0.162162162,0.260135135
radish LR,0.12,0.12,0.1,0.02,0.24,0.14,0.26
radish MR,0.047619048,0.095238095,0.095238095,0,0.142857143,0.238095238,0.380952381
tomato HR,0,0.125,0.125,0,0.25,0.125,0.375
tomato KR,0.014492754,0.057971014,0.057971014,0.579710145,0.101449275,0.043478261,0.144927536
tomato NR,0.074363992,0.093933464,0.082191781,0.052837573,0.26223092,0.178082192,0.256360078
tomato LR,0.0625,0.072916667,0.072916667,0,0.333333333,0.145833333,0.3125
tomato MR,0.230769231,0.051282051,0.179487179,0.025641026,0.205128205,0.102564103,0.205128205
tondaikai KR,0.073899371,0.086477987,0.081761006,0.099056604,0.254716981,0.158805031,0.245283019
tondaikai NR,0.0625,0.0875,0.1125,0.0625,0.2375,0.15,0.2875
tondaikai LR,0.285714286,0,0,0,0.285714286,0,0.428571429
vazpoo/thandu HR,0,0,0,0,0.5,0.5,0
vazpoo/thandu KR,0.071537291,0.088280061,0.079147641,0.097412481,0.249619482,0.158295282,0.255707763
vazpoo/thandu NR,0.094339623,0.075471698,0.113207547,0.075471698,0.301886792,0.113207547,0.226415094
vazpoo/thandu LR,0,0,0.333333333,0,0.166666667,0.166666667,0.333333333
vazpoo/thandu MR,0.4,0,0.2,0,0.2,0.2,0
yams HR,0.2,0,0,0,0.6,0.2,0
yams KR,0.063291139,0.075949367,0.082278481,0.116033755,0.253164557,0.160337553,0.248945148
yams NR,0.063953488,0.104651163,0.081395349,0.052325581,0.244186047,0.168604651,0.284883721
yams LR,0.215686275,0.137254902,0.098039216,0.058823529,0.196078431,0.098039216,0.196078431
yams MR,0.047619048,0.047619048,0.142857143,0.047619048,0.380952381,0.095238095,0.238095238
gram HR,0.024390244,0.12195122,0.12195122,0.048780488,0.268292683,0.219512195,0.195121951
gram KR,0,0,0.021276596,0.787234043,0.063829787,0.042553191,0.085106383
gram NR,0.101449275,0.105072464,0.065217391,0.043478261,0.25,0.130434783,0.304347826
gram LR,0.087155963,0.059633028,0.105504587,0.036697248,0.298165138,0.188073394,0.224770642
gram MR,0.042553191,0.106382979,0.09929078,0.063829787,0.24822695,0.177304965,0.262411348
channa HR,0,0.12,0.04,0.08,0.36,0.12,0.28
channa KR,0.064220183,0.091743119,0.018348624,0.211009174,0.233944954,0.151376147,0.229357798
channa NR,0.081712062,0.070038911,0.105058366,0.042801556,0.280155642,0.178988327,0.241245136
channa LR,0.068027211,0.088435374,0.149659864,0.040816327,0.244897959,0.081632653,0.326530612
channa MR,0.118421053,0.105263158,0.092105263,0.039473684,0.197368421,0.25,0.197368421
dhal HR,0.076923077,0.230769231,0.153846154,0,0.307692308,0.153846154,0.076923077
dhal KR,0,0,0.043478261,0.760869565,0.065217391,0.02173913,0.108695652
dhal NR,0.076,0.084,0.086,0.054,0.254,0.176,0.27
dhal LR,0.101010101,0.070707071,0.070707071,0.04040404,0.303030303,0.161616162,0.252525253
dhal MR,0.076923077,0.153846154,0.107692308,0.030769231,0.292307692,0.092307692,0.246153846
maida HR,0.083333333,0.166666667,0.083333333,0,0.166666667,0.083333333,0.416666667
maida KR,0.045045045,0.081081081,0.081081081,0.202702703,0.256756757,0.157657658,0.175675676
maida NR,0.08719346,0.092643052,0.08719346,0.057220708,0.242506812,0.16893733,0.264305177
maida LR,0.08988764,0.078651685,0.06741573,0.011235955,0.280898876,0.08988764,0.382022472
maida MR,0.090909091,0.03030303,0.121212121,0.03030303,0.303030303,0.212121212,0.212121212
oats HR,0,0,0,0,1,0,0
oats KR,0.070261438,0.088235294,0.086601307,0.10620915,0.248366013,0.153594771,0.246732026
oats NR,0.117021277,0.085106383,0.053191489,0.031914894,0.287234043,0.159574468,0.265957447
oats LR,0,0,0.083333333,0,0.166666667,0.333333333,0.416666667
oats MR,0,0,0.5,0,0.25,0,0.25
ragi HR,0,0.333333333,0,0,0.666666667,0,0
ragi KR,0.071428571,0.091575092,0.087912088,0.104395604,0.249084249,0.153846154,0.241758242
ragi NR,0.075342466,0.068493151,0.068493151,0.075342466,0.260273973,0.143835616,0.308219178
ragi LR,0.176470588,0.058823529,0.117647059,0,0.235294118,0.235294118,0.176470588
ragi MR,0.090909091,0,0.090909091,0,0.272727273,0.363636364,0.181818182
rice KR,0.074796748,0.089430894,0.07804878,0.104065041,0.22601626,0.165853659,0.261788618
rice MR,0,0,1,0,0,0,0
rice NR,0.078431373,0.058823529,0.117647059,0.039215686,0.421568627,0.098039216,0.18627451
rice LR,0,0.2,0,0,0.2,0.2,0.4
wheat HR,0,0.0625,0.0625,0,0.5,0.1875,0.1875
wheat KR,0.043859649,0.087719298,0.043859649,0.359649123,0.175438596,0.140350877,0.149122807
wheat NR,0.073434125,0.088552916,0.086393089,0.05399568,0.24838013,0.174946004,0.274298056
wheat LR,0.104166667,0.083333333,0.09375,0.020833333,0.322916667,0.104166667,0.270833333
wheat MR,0.147058824,0.058823529,0.176470588,0,0.264705882,0.088235294,0.264705882
coconut HR,0,0,0,0,0.666666667,0,0.333333333
coconut KR,0.076190476,0.066666667,0.066666667,0.233333333,0.161904762,0.157142857,0.238095238
coconut NR,0.062176166,0.106217617,0.085492228,0.044041451,0.300518135,0.163212435,0.238341969
coconut LR,0.082352941,0.070588235,0.082352941,0.023529412,0.258823529,0.152941176,0.329411765
coconut MR,0.179487179,0.025641026,0.179487179,0,0.230769231,0.102564103,0.282051282
oil HR,0,0,0,0,0.571428571,0.285714286,0.142857143
oil KR,0.046703297,0.085164835,0.098901099,0.156593407,0.173076923,0.129120879,0.31043956
oil NR,0.09765625,0.10546875,0.07421875,0.03515625,0.30859375,0.16015625,0.21875
oil LR,0.130434783,0.028985507,0.057971014,0.028985507,0.405797101,0.202898551,0.144927536
oil MR,0.111111111,0.074074074,0.074074074,0,0.333333333,0.333333333,0.074074074
garlic HR,0,0.333333333,0,0,0.5,0.166666667,0
garlic KR,0.062330623,0.070460705,0.089430894,0.140921409,0.246612466,0.138211382,0.25203252
garlic NR,0.079365079,0.111111111,0.075396825,0.055555556,0.253968254,0.158730159,0.265873016
garlic LR,0.134328358,0.059701493,0.104477612,0.029850746,0.223880597,0.223880597,0.223880597
garlic MR,0.068965517,0.068965517,0.068965517,0,0.344827586,0.206896552,0.24137931
ginger HR,0,0,0,0,0.6,0.4,0
ginger KR,0.06504065,0.078590786,0.08401084,0.157181572,0.230352304,0.138211382,0.246612466
ginger NR,0.090225564,0.093984962,0.086466165,0.033834586,0.266917293,0.157894737,0.270676692
ginger LR,0.06,0.14,0.12,0,0.24,0.18,0.26
ginger MR,0.090909091,0.03030303,0.03030303,0.03030303,0.363636364,0.272727273,0.181818182
pepper KR,0.066978193,0.085669782,0.074766355,0.102803738,0.249221184,0.160436137,0.260124611
pepper MR,1,0,0,0,0,0,0
pepper NR,0.125,0.097222222,0.152777778,0.027777778,0.305555556,0.125,0.166666667
pepper LR,0,0,0.285714286,0,0.142857143,0.142857143,0.428571429
tamarind HR,0,0.153846154,0,0,0.384615385,0.230769231,0.230769231
tamarind KR,0.040816327,0.068027211,0.074829932,0.278911565,0.183673469,0.129251701,0.224489796
tamarind NR,0.08801956,0.092909535,0.083129584,0.056234719,0.249388753,0.151589242,0.278728606
tamarind LR,0.076923077,0.028846154,0.125,0.028846154,0.336538462,0.163461538,0.240384615
tamarind MR,0.08,0.18,0.06,0.02,0.28,0.24,0.14
aginomoto HR,0,0.25,0.25,0,0.5,0,0
aginomoto KR,0.069948187,0.090673575,0.075129534,0.134715026,0.238341969,0.150259067,0.240932642
aginomoto NR,0.071713147,0.079681275,0.09561753,0.051792829,0.270916335,0.163346614,0.266932271
aginomoto LR,0.12,0.08,0.1,0.02,0.18,0.2,0.3
aginomoto MR,0.09375,0.0625,0.0625,0.0625,0.375,0.125,0.21875
spices HR,0,0,0,0,0.5,0,0.5
spices KR,0.072072072,0.086486486,0.073873874,0.115315315,0.23963964,0.162162162,0.25045045
spices NR,0.079710145,0.079710145,0.144927536,0.028985507,0.282608696,0.137681159,0.246376812
spices LR,0.095238095,0.095238095,0,0,0.333333333,0.19047619,0.285714286
spices MR,0.2,0.2,0,0,0.4,0,0.2
coco HR,0,0.25,0,0,0,0.5,0.25
coco KR,0.067125645,0.074010327,0.077452668,0.113597246,0.254733219,0.151462995,0.2616179
coco NR,0.12605042,0.142857143,0.12605042,0.016806723,0.218487395,0.168067227,0.201680672
coco LR,0,0,0.083333333,0,0.583333333,0.166666667,0.166666667
coco MR,0,0.142857143,0,0,0.285714286,0.142857143,0.428571429
drink 1 KR,0.073208723,0.08411215,0.080996885,0.096573209,0.246105919,0.157320872,0.261682243
drink 1 MR,0.25,0,0,0,0,0.75,0
drink 1 NR,0.086956522,0.101449275,0.115942029,0.072463768,0.347826087,0.072463768,0.202898551
drink 1 LR,0,0.125,0.125,0.125,0.125,0.5,0
drink2 KR,0.0734375,0.084375,0.08125,0.096875,0.2453125,0.1609375,0.2578125
drink2 MR,0.333333333,0,0,0,0.333333333,0.333333333,0
drink2 NR,0.083333333,0.097222222,0.125,0.055555556,0.333333333,0.083333333,0.222222222
drink2 LR,0,0.125,0,0.25,0.125,0.375,0.125
fruit1 HR,0.068965517,0.103448276,0.206896552,0.034482759,0.206896552,0.103448276,0.275862069
fruit1 KR,0.033333333,0.108333333,0.025,0.325,0.116666667,0.15,0.241666667
fruit1 NR,0.089552239,0.044776119,0.119402985,0.014925373,0.223880597,0.208955224,0.298507463
fruit1 LR,0.087719298,0.082706767,0.067669173,0.060150376,0.268170426,0.162907268,0.270676692
fruit1 MR,0.064814815,0.092592593,0.157407407,0.027777778,0.37962963,0.12037037,0.157407407
fruit2 HR,0.142857143,0,0,0.071428571,0.5,0.142857143,0.142857143
fruit2 KR,0.032679739,0.098039216,0.032679739,0.281045752,0.150326797,0.137254902,0.267973856
fruit2 NR,0.068965517,0.068965517,0.091954023,0.011494253,0.252873563,0.195402299,0.310344828
fruit2 LR,0.08310992,0.075067024,0.085790885,0.061662198,0.273458445,0.166219839,0.254691689
fruit2 MR,0.104166667,0.135416667,0.166666667,0,0.302083333,0.114583333,0.177083333
lime HR,0,0,0,0,0.666666667,0,0.333333333
lime KR,0.069548872,0.082706767,0.097744361,0.109022556,0.231203008,0.144736842,0.265037594
lime NR,0.086206897,0.077586207,0.043103448,0.060344828,0.327586207,0.189655172,0.215517241
lime LR,0.079365079,0.142857143,0.063492063,0.031746032,0.301587302,0.206349206,0.174603175
lime MR,0.222222222,0,0,0.111111111,0.111111111,0.111111111,0.444444444
nuts HR,0.025641026,0.076923077,0.128205128,0.051282051,0.230769231,0.102564103,0.384615385
nuts KR,0.066326531,0.056122449,0.056122449,0.214285714,0.193877551,0.168367347,0.244897959
nuts NR,0.094420601,0.098712446,0.08583691,0.051502146,0.240343348,0.158798283,0.270386266
nuts LR,0.08125,0.08125,0.0875,0.0625,0.35625,0.1375,0.19375
nuts MR,0.052631579,0.126315789,0.115789474,0.021052632,0.242105263,0.178947368,0.263157895
running nose YES,0,0.19379845,0.189922481,0.007751938,0.011627907,0.054263566,0.542635659
running nose NO,0.116129032,0.025806452,0.025806452,0.141935484,0.387096774,0.212903226,0.090322581
sneeze YES,0,0.19924812,0.191729323,0,0.003759398,0.045112782,0.560150376
sneeze NO,0.118161926,0.019693654,0.021881838,0.148796499,0.398249453,0.221006565,0.072210066
cough YES,0.005780347,0.231213873,0.219653179,0,0,0.075144509,0.468208092
cough NO,0.096363636,0.04,0.041818182,0.123636364,0.332727273,0.181818182,0.183636364
wheeze/blocks YES,0.008888889,0.195555556,0.208888889,0,0.008888889,0.12,0.457777778
wheeze/blocks NO,0.104417671,0.036144578,0.02811245,0.136546185,0.363453815,0.172690763,0.158634538
headache YES,0.007462687,0.276119403,0.298507463,0,0,0.02238806,0.395522388
headache NO,0.089983022,0.042444822,0.03565365,0.115449915,0.310696095,0.186757216,0.21901528
itching YES,0.148044693,0.002793296,0.159217877,0,0.491620112,0.195530726,0.002793296
itching NO,0.002739726,0.167123288,0.010958904,0.18630137,0.019178082,0.117808219,0.495890411
swelling YES,0.126582278,0,0.246835443,0,0.493670886,0.132911392,0
swelling NO,0.060176991,0.109734513,0.038938053,0.120353982,0.185840708,0.162831858,0.322123894
red rashes YES,0.144,0,0.312,0,0.392,0.152,0
red rashes NO,0.060200669,0.10367893,0.036789298,0.113712375,0.224080268,0.157190635,0.304347826
gender F,0.072351421,0.085271318,0.095607235,0.087855297,0.289405685,0.149870801,0.219638243
gender M,0.077380952,0.086309524,0.071428571,0.101190476,0.211309524,0.163690476,0.288690476
f_history YES,0.087378641,0.150485437,0.128640777,0,0.286407767,0.165048544,0.182038835
f_history NO,0.057877814,0,0.025723473,0.218649518,0.209003215,0.144694534,0.344051447
