A/C,R,U,RU,RO,O,UO,N
oil NR,0.178030303,0.401515152,0.071969697,0.102272727,0.128787879,0.09469697,0.022727273
oil LR,0.131578947,0.5,0.052631579,0.026315789,0.144736842,0.118421053,0.026315789
garlic MR,0.212121212,0.454545455,0.060606061,0.060606061,0.151515152,0.060606061,0
garlic KR,0.211699164,0.337047354,0.091922006,0.072423398,0.116991643,0.064066852,0.105849582
garlic HR,0,0.625,0,0.25,0.125,0,0
garlic NR,0.219607843,0.349019608,0.074509804,0.109803922,0.129411765,0.078431373,0.039215686
garlic LR,0.188405797,0.304347826,0.101449275,0.057971014,0.202898551,0.130434783,0.014492754
ginger MR,0.121212121,0.454545455,0.03030303,0.03030303,0.242424242,0.090909091,0.03030303
ginger KR,0.216666667,0.316666667,0.086111111,0.080555556,0.119444444,0.066666667,0.113888889
ginger HR,0,0.6,0,0,0.4,0,0
ginger NR,0.214814815,0.37037037,0.085185185,0.092592593,0.122222222,0.088888889,0.025925926
ginger LR,0.214285714,0.339285714,0.107142857,0.125,0.160714286,0.053571429,0
pepper MR,0,0,0,0,0,1,0
pepper NR,0.136986301,0.383561644,0.150684932,0.095890411,0.095890411,0.123287671,0.01369863
pepper LR,0.428571429,0.142857143,0.285714286,0,0.142857143,0,0
pepper KR,0.216510903,0.345794393,0.074766355,0.085669782,0.135514019,0.066978193,0.074766355
tamarind MR,0.137254902,0.333333333,0.058823529,0.176470588,0.196078431,0.078431373,0.019607843
tamarind KR,0.2,0.266666667,0.081481481,0.074074074,0.111111111,0.044444444,0.222222222
tamarind HR,0.125,0.625,0,0.125,0.125,0,0
tamarind NR,0.227817746,0.347721823,0.081534772,0.091127098,0.127098321,0.086330935,0.038369305
tamarind LR,0.2,0.40952381,0.123809524,0.028571429,0.142857143,0.076190476,0.019047619
aginomoto MR,0.181818182,0.424242424,0.060606061,0.060606061,0.121212121,0.090909091,0.060606061
aginomoto KR,0.195822454,0.342036554,0.075718016,0.091383812,0.127937337,0.070496084,0.096605744
aginomoto HR,0,0.5,0.25,0.25,0,0,0
aginomoto NR,0.228915663,0.34939759,0.096385542,0.080321285,0.136546185,0.072289157,0.036144578
aginomoto LR,0.254545455,0.309090909,0.090909091,0.072727273,0.145454545,0.109090909,0.018181818
spices MR,0.2,0.4,0,0.2,0,0.2,0
spices KR,0.209854015,0.332116788,0.074817518,0.087591241,0.136861314,0.072992701,0.085766423
spices HR,0.5,0.5,0,0,0,0,0
spices NR,0.204081633,0.380952381,0.136054422,0.074829932,0.115646259,0.074829932,0.013605442
spices LR,0.2,0.45,0,0.1,0.15,0.1,0
coco MR,0.333333333,0.444444444,0,0.111111111,0.111111111,0,0
coco KR,0.217770035,0.353658537,0.078397213,0.074912892,0.12543554,0.067944251,0.081881533
coco HR,0.25,0,0,0.25,0.5,0,0
coco NR,0.169354839,0.290322581,0.120967742,0.137096774,0.14516129,0.120967742,0.016129032
coco LR,0.153846154,0.615384615,0.076923077,0,0.153846154,0,0
drink 1 MR,0,0,0,0,0.666666667,0.333333333,0
drink 1 NR,0.166666667,0.444444444,0.111111111,0.097222222,0.055555556,0.083333333,0.041666667
drink 1 LR,0,0.142857143,0.142857143,0.142857143,0.428571429,0,0.142857143
drink 1 KR,0.218068536,0.339563863,0.080996885,0.08411215,0.133956386,0.073208723,0.070093458
drink2 MR,0,0.333333333,0,0,0.333333333,0.333333333,0
drink2 NR,0.152777778,0.430555556,0.125,0.097222222,0.069444444,0.083333333,0.041666667
drink2 LR,0.111111111,0.333333333,0,0.111111111,0.333333333,0,0.111111111
drink2 KR,0.21875,0.3375,0.08125,0.084375,0.134375,0.0734375,0.0703125
fruit1 MR,0.12173913,0.469565217,0.147826087,0.086956522,0.095652174,0.060869565,0.017391304
fruit1 KR,0.203539823,0.230088496,0.026548673,0.115044248,0.132743363,0.03539823,0.256637168
fruit1 HR,0.205882353,0.382352941,0.176470588,0.088235294,0.058823529,0.058823529,0.029411765
fruit1 NR,0.25,0.3125,0.125,0.046875,0.15625,0.09375,0.015625
fruit1 LR,0.231155779,0.346733668,0.067839196,0.082914573,0.14321608,0.087939698,0.040201005
fruit2 MR,0.155339806,0.378640777,0.155339806,0.126213592,0.087378641,0.097087379,0
fruit2 KR,0.230769231,0.237762238,0.034965035,0.104895105,0.132867133,0.034965035,0.223776224
fruit2 HR,0.111111111,0.611111111,0,0,0.111111111,0.111111111,0.055555556
fruit2 NR,0.261904762,0.345238095,0.095238095,0.071428571,0.142857143,0.071428571,0.011904762
fruit2 LR,0.210106383,0.367021277,0.085106383,0.074468085,0.140957447,0.082446809,0.039893617
lime MR,0.3,0.3,0,0,0.1,0.2,0.1
lime KR,0.220952381,0.32,0.099047619,0.083809524,0.123809524,0.07047619,0.081904762
lime HR,0.25,0.75,0,0,0,0,0
lime NR,0.18487395,0.428571429,0.042016807,0.075630252,0.151260504,0.084033613,0.033613445
lime LR,0.151515152,0.393939394,0.060606061,0.136363636,0.166666667,0.075757576,0.015151515
nuts MR,0.24,0.31,0.11,0.12,0.15,0.05,0.02
nuts KR,0.205714286,0.291428571,0.062857143,0.062857143,0.125714286,0.074285714,0.177142857
nuts HR,0.341463415,0.317073171,0.12195122,0.073170732,0.097560976,0.024390244,0.024390244
nuts NR,0.217213115,0.331967213,0.081967213,0.094262295,0.147540984,0.090163934,0.036885246
nuts LR,0.152439024,0.457317073,0.085365854,0.079268293,0.109756098,0.079268293,0.036585366
running nose YES,0.5,0.017241379,0.211206897,0.215517241,0.051724138,0,0.004310345
running nose NO,0.073170732,0.50203252,0.024390244,0.024390244,0.168699187,0.109756098,0.097560976
sneeze YES,0.514522822,0.008298755,0.211618257,0.219917012,0.045643154,0,0
sneeze NO,0.057971014,0.51552795,0.020703934,0.01863354,0.173913043,0.111801242,0.101449275
cough YES,0.434782609,0,0.236024845,0.248447205,0.074534161,0.00621118,0
cough NO,0.145648313,0.445825933,0.040852575,0.039076377,0.147424512,0.094138544,0.087033748
wheeze/blocks YES,0.419512195,0.009756098,0.229268293,0.214634146,0.117073171,0.009756098,0
wheeze/blocks NO,0.12716763,0.479768786,0.026974952,0.034682081,0.136801541,0.100192678,0.094412331
headache YES,0.336,0.016,0.32,0.296,0.024,0.008,0
headache NO,0.183639399,0.415692821,0.035058431,0.041736227,0.153589316,0.088480801,0.081803005
itching YES,0.002439024,0.592682927,0.13902439,0.002439024,0.134146341,0.129268293,0
itching NO,0.48089172,0.025477707,0.012738854,0.194267516,0.127388535,0.003184713,0.156050955
swelling YES,0,0.581521739,0.211956522,0,0.097826087,0.108695652,0
swelling NO,0.281481481,0.266666667,0.040740741,0.114814815,0.142592593,0.062962963,0.090740741
red rashes YES,0,0.478571429,0.278571429,0,0.114285714,0.128571429,0
red rashes NO,0.260273973,0.315068493,0.037671233,0.106164384,0.135273973,0.061643836,0.08390411
gender F,0.172069825,0.396508728,0.092269327,0.082294264,0.122194514,0.069825436,0.064837905
gender M,0.256965944,0.284829721,0.074303406,0.089783282,0.142414861,0.080495356,0.07120743
f_history YES,0.144827586,0.372413793,0.12183908,0.142528736,0.135632184,0.082758621,0
f_history NO,0.307958478,0.307958478,0.027681661,0,0.124567474,0.062283737,0.169550173
