A/C,O,U,RO,RU,N,UO,R
maida KR,0.275862069,0.221674877,0.039408867,0.019704433,0.019704433,0.004926108,0.418719212
maida NR,0.280104712,0.269633508,0.028795812,0.031413613,0.031413613,0.005235602,0.353403141
maida LR,0.157407407,0.361111111,0.018518519,0.018518519,0.027777778,0.018518519,0.398148148
maida MR,0.375,0.125,0.125,0,0,0,0.375
oats KR,0.266768293,0.265243902,0.033536585,0.022865854,0.027439024,0.007621951,0.37652439
oats NR,0.170731707,0.317073171,0,0.073170732,0.024390244,0,0.414634146
oats LR,0.333333333,0.333333333,0,0,0,0,0.333333333
oats MR,0,0,0,0,0,0,1
ragi KR,0.264036419,0.26707132,0.031866464,0.024279211,0.025796662,0.006069803,0.380880121
ragi NR,0.235294118,0.323529412,0,0.029411765,0,0.029411765,0.382352941
ragi LR,0.125,0.125,0.125,0.125,0.25,0,0.25
rice KR,0.261560694,0.264450867,0.031791908,0.026011561,0.026011561,0.007225434,0.382947977
rice NR,0.25,0.5,0,0,0.125,0,0.125
rice LR,0,1,0,0,0,0,0
wheat KR,0.338709677,0.306451613,0,0,0,0.016129032,0.338709677
wheat NR,0.264084507,0.25528169,0.029929577,0.026408451,0.033450704,0.007042254,0.383802817
wheat LR,0.171428571,0.342857143,0.071428571,0.042857143,0,0,0.371428571
wheat MR,0,0,0,0,0,0,1
coconut KR,0.25,0.27173913,0.027173913,0.02173913,0.010869565,0,0.418478261
coconut NR,0.274891775,0.251082251,0.03030303,0.025974026,0.032467532,0.010822511,0.374458874
coconut LR,0.188679245,0.377358491,0.056603774,0.037735849,0.037735849,0,0.301886792
coconut MR,0,1,0,0,0,0,0
oil KR,0.269817073,0.265243902,0.028963415,0.027439024,0.025914634,0.007621951,0.375
oil NR,0.153846154,0.282051282,0.076923077,0,0.051282051,0,0.435897436
oil LR,0,0.5,0,0,0,0,0.5
garlic KR,0.320334262,0.21448468,0.025069638,0.033426184,0.030640669,0.008356546,0.367688022
garlic NR,0.212121212,0.316498316,0.04040404,0.02020202,0.023569024,0.006734007,0.38047138
garlic LR,0.11627907,0.348837209,0.023255814,0,0.023255814,0,0.488372093
garlic MR,0,1,0,0,0,0,0
ginger KR,0.318072289,0.209638554,0.024096386,0.031325301,0.028915663,0.004819277,0.38313253
ginger LR,0.243902439,0.487804878,0.024390244,0,0,0,0.243902439
ginger HR,0,1,0,0,0,0,0
ginger MR,0,0.5,0,0,0,0,0.5
ginger NR,0.170833333,0.325,0.045833333,0.020833333,0.029166667,0.0125,0.395833333
pepper KR,0.273026316,0.261513158,0.024671053,0.029605263,0.026315789,0.006578947,0.378289474
pepper NR,0.205882353,0.279411765,0.073529412,0,0.044117647,0.014705882,0.382352941
pepper LR,0.136363636,0.409090909,0.090909091,0,0,0,0.363636364
pepper MR,0,0.333333333,0,0,0,0,0.666666667
tamarind KR,0.308681672,0.237942122,0.003215434,0.028938907,0.032154341,0.006430868,0.382636656
tamarind NR,0.224924012,0.288753799,0.051671733,0.024316109,0.021276596,0.003039514,0.386018237
tamarind LR,0.216666667,0.3,0.066666667,0.016666667,0.033333333,0.033333333,0.333333333
tamarind MR,0,1,0,0,0,0,0
aginomoto KR,0.263071895,0.258169935,0.027777778,0.026143791,0.031045752,0.006535948,0.387254902
aginomoto NR,0.253012048,0.313253012,0.060240964,0.024096386,0,0.012048193,0.337349398
aginomoto LR,0.2,0.6,0,0,0,0,0.2
aginomoto MR,0,1,0,0,0,0,0
spices KR,0.261796043,0.260273973,0.02739726,0.02739726,0.02739726,0.00761035,0.388127854
spices NR,0.305555556,0.305555556,0.083333333,0,0.027777778,0,0.277777778
spices LR,0,0.714285714,0.142857143,0,0,0,0.142857143
spices MR,0,1,0,0,0,0,0
coco KR,0.261627907,0.26744186,0.031976744,0.026162791,0.027616279,0.007267442,0.377906977
coco NR,0.25,0.333333333,0,0,0,0,0.416666667
coco LR,0,0,0,0,0,0,1
horlicks KR,0.261055635,0.268188302,0.031383738,0.025677603,0.027104137,0.007132668,0.379457917
boost KR,0.261802575,0.268955651,0.031473534,0.025751073,0.027181688,0.007153076,0.377682403
boost NR,0,0,0,0,0,0,1
nuts KR,0.261055635,0.268188302,0.031383738,0.025677603,0.027104137,0.007132668,0.379457917
runningnose no,0.386861314,0.450121655,0.01459854,0.00486618,0.03163017,0.00729927,0.104622871
runningnose yes,0.082758621,0.010344828,0.055172414,0.055172414,0.020689655,0.006896552,0.768965517
sneeze no,0.383954155,0.515759312,0.011461318,0.00286533,0.034383954,0.005730659,0.045845272
sneeze yes,0.139204545,0.022727273,0.051136364,0.048295455,0.019886364,0.008522727,0.710227273
cough no,0.300859599,0.521489971,0.014326648,0.020057307,0.034383954,0.011461318,0.097421203
cough yes,0.221590909,0.017045455,0.048295455,0.03125,0.019886364,0.002840909,0.659090909
wheezeBlocks no,0.262430939,0.494475138,0.005524862,0.024861878,0.038674033,0.005524862,0.168508287
wheezeBlocks yes,0.259587021,0.026548673,0.05899705,0.026548673,0.014749263,0.008849558,0.604719764
headache no,0.259194396,0.315236427,0.022767075,0.028021016,0.026269702,0.008756567,0.339754816
headache yes,0.269230769,0.061538462,0.069230769,0.015384615,0.030769231,0,0.553846154
itching no,0.324705882,0.004705882,0.044705882,0,0.018823529,0,0.607058824
itching yes,0.163043478,0.673913043,0.010869565,0.065217391,0.039855072,0.018115942,0.028985507
swelling no,0.367010309,0.024742268,0.045360825,0.004123711,0.016494845,0,0.542268041
swelling yes,0.023148148,0.814814815,0,0.074074074,0.050925926,0.023148148,0.013888889
redrashes no,0.369918699,0.026422764,0.044715447,0.006097561,0.018292683,0,0.534552846
redrashes yes,0.004784689,0.837320574,0,0.071770335,0.04784689,0.023923445,0.014354067
FHistory no,0.222222222,0.320987654,0.02962963,0.019753086,0.02962963,0.007407407,0.37037037
FHistory yes,0.314189189,0.195945946,0.033783784,0.033783784,0.023648649,0.006756757,0.391891892
Sex f,0.25,0.29494382,0.028089888,0.033707865,0.033707865,0.011235955,0.348314607
Sex m,0.270348837,0.24127907,0.034883721,0.01744186,0.020348837,0.002906977,0.412790698
Sex ?,1,0,0,0,0,0,0
