A/C,N,UO,RO,R,U,O,RU
radish KR,0.088161209,0.158690176,0.143576826,0.143576826,0.158690176,0.166246851,0.141057935
radish LR,0.057692308,0.365384615,0.115384615,0.096153846,0.076923077,0.038461538,0.25
tomato NR,0.151799687,0.156494523,0.150234742,0.136150235,0.13458529,0.129890454,0.14084507
tomato KR,0.3,0,0,0.1,0.2,0.4,0
tomato LR,0,0,0.02173913,0.260869565,0.239130435,0.282608696,0.195652174
tomato MR,0,0,0.666666667,0,0.333333333,0,0
tondaikai NR,0,0,0.157894737,0.105263158,0.157894737,0.157894737,0.421052632
tondaikai KR,0.147275405,0.147275405,0.141384389,0.144329897,0.142857143,0.142857143,0.134020619
vazpooThandu NR,0.225490196,0.225490196,0.088235294,0.107843137,0.088235294,0.166666667,0.098039216
vazpooThandu KR,0.132302405,0.132302405,0.154639175,0.14604811,0.140893471,0.140893471,0.152920962
vazpooThandu LR,0,0,0,0.285714286,0.642857143,0.071428571,0
yams NR,0.103448276,0,0.413793103,0.137931034,0.149425287,0.183908046,0.011494253
yams KR,0.154499151,0.169779287,0.106960951,0.142614601,0.146010187,0.137521222,0.142614601
yams LR,0,0,0,0.142857143,0.047619048,0.142857143,0.666666667
yams MR,0,0,0,1,0,0,0
gram LR,0.161538462,0.223076923,0.073076923,0.103846154,0.146153846,0.103846154,0.188461538
gram KR,0,0,0.4,0.2,0,0.4,0
gram MR,0,0,0.060606061,0.363636364,0.242424242,0.333333333,0
gram NR,0.145728643,0.105527638,0.190954774,0.150753769,0.135678392,0.145728643,0.125628141
gram HR,0,0,0,0,0,1,0
channa ?,0,0,0,0,0.5,0.5,0
channa LR,0.149038462,0.201923077,0.240384615,0.096153846,0.096153846,0.096153846,0.120192308
channa KR,0.155963303,0.266055046,0.100917431,0.119266055,0.100917431,0.142201835,0.114678899
channa MR,0.226190476,0,0.095238095,0.166666667,0.142857143,0.107142857,0.261904762
channa NR,0.09039548,0,0.09039548,0.209039548,0.248587571,0.209039548,0.152542373
channa HR,0,0,0.333333333,0.333333333,0.111111111,0.222222222,0
dhal NR,0.134408602,0.14516129,0.130824373,0.150537634,0.129032258,0.146953405,0.163082437
dhal KR,0.38,0,0.06,0.14,0.16,0.18,0.08
dhal LR,0.074074074,0.234567901,0.222222222,0.111111111,0.197530864,0.111111111,0.049382716
dhal MR,0,0,0.555555556,0,0.444444444,0,0
maida NR,0.160305344,0.094147583,0.132315522,0.132315522,0.122137405,0.165394402,0.193384224
maida KR,0.084848485,0.121212121,0.181818182,0.187878788,0.16969697,0.145454545,0.109090909
maida LR,0.174242424,0.325757576,0.113636364,0.121212121,0.166666667,0.060606061,0.037878788
maida MR,0,0,0.25,0.125,0.25,0.375,0
oats NR,0.113636364,0,0,0.204545455,0.159090909,0.113636364,0.409090909
oats KR,0.145929339,0.153609831,0.152073733,0.138248848,0.141321045,0.144393241,0.124423963
oats LR,0,0,0,0,0.5,0.5,0
oats MR,0,0,0,1,0,0,0
ragi NR,0,0.525,0,0.125,0.1,0.125,0.125
ragi KR,0.153364632,0.123630673,0.150234742,0.147104851,0.147104851,0.147104851,0.131455399
ragi LR,0.105263158,0,0.157894737,0.052631579,0.105263158,0.052631579,0.526315789
rice NR,0.5,0,0,0.125,0.125,0.25,0
rice KR,0.139332366,0.145137881,0.143686502,0.143686502,0.142235123,0.142235123,0.143686502
rice LR,0,0,0,0,1,0,0
wheat NR,0.16722408,0.147157191,0.140468227,0.133779264,0.122073579,0.142140468,0.147157191
wheat KR,0,0.3,0,0.15,0.3,0.25,0
wheat LR,0,0,0.25862069,0.24137931,0.224137931,0.086206897,0.189655172
wheat MR,0,0,0,0,1,0,0
coconut NR,0.166015625,0.1953125,0.13671875,0.126953125,0.115234375,0.12890625,0.130859375
coconut KR,0.022556391,0,0.157894737,0.240601504,0.203007519,0.187969925,0.187969925
coconut LR,0.235294118,0,0.156862745,0.058823529,0.235294118,0.176470588,0.137254902
coconut MR,0,0,0,0,1,0,0
oil NR,0.25,0,0.305555556,0.222222222,0.083333333,0.138888889,0
oil KR,0.138508371,0.152207002,0.133942161,0.136986301,0.143074581,0.144596651,0.150684932
oil LR,0,0,0,0.4,0.6,0,0
garlic NR,0.10652921,0.120274914,0.178694158,0.16838488,0.178694158,0.12371134,0.12371134
garlic KR,0.171428571,0.168831169,0.114285714,0.114285714,0.106493506,0.161038961,0.163636364
garlic LR,0.136363636,0,0.136363636,0.318181818,0.318181818,0.090909091,0
ginger NR,0.095419847,0.236641221,0.15648855,0.15648855,0.160305344,0.103053435,0.091603053
ginger KR,0.180288462,0.091346154,0.132211538,0.129807692,0.115384615,0.170673077,0.180288462
ginger LR,0,0,0.15,0.25,0.5,0.1,0
pepper NR,0.101265823,0.316455696,0.227848101,0.113924051,0.126582278,0.113924051,0
pepper KR,0.153846154,0.12541806,0.122073579,0.14548495,0.140468227,0.147157191,0.165551839
pepper LR,0,0,0.444444444,0.166666667,0.222222222,0.166666667,0
pepper MR,0,0,0,0.333333333,0.666666667,0,0
tamarind NR,0.088328076,0.069400631,0.261829653,0.154574132,0.164037855,0.126182965,0.135646688
tamarind KR,0.227891156,0.12585034,0.003401361,0.146258503,0.132653061,0.180272109,0.183673469
tamarind LR,0.057471264,0.471264368,0.172413793,0.091954023,0.103448276,0.08045977,0.022988506
aginomoto NR,0,0.225,0.25,0.1375,0.175,0.1,0.1125
aginomoto KR,0.162074554,0.132901135,0.128038898,0.144246353,0.139384117,0.147487844,0.145867099
aginomoto LR,0,0,0,0,0,1,0
spices NR,0.107142857,0,0.321428571,0.142857143,0.25,0.178571429,0
spices KR,0.146969697,0.151515152,0.127272727,0.143939394,0.136363636,0.143939394,0.15
spices LR,0,0,0.6,0.1,0.3,0,0
coco NR,0,0,0,0.428571429,0.142857143,0.428571429,0
coco KR,0.144927536,0.144927536,0.143478261,0.14057971,0.142028986,0.14057971,0.143478261
coco LR,0,0,0,0,1,0,0
horlicks KR,0.143266476,0.143266476,0.141833811,0.143266476,0.143266476,0.143266476,0.141833811
boost KR,0.143266476,0.143266476,0.141833811,0.143266476,0.143266476,0.143266476,0.141833811
nuts KR,0.143266476,0.143266476,0.141833811,0.143266476,0.143266476,0.143266476,0.141833811
runningnose yes,0.070552147,0.110429448,0.245398773,0.263803681,0.003067485,0.030674847,0.27607362
runningnose no,0.206989247,0.172043011,0.051075269,0.037634409,0.266129032,0.241935484,0.024193548
sneeze yes,0.063829787,0.156914894,0.212765957,0.244680851,0.005319149,0.071808511,0.244680851
sneeze no,0.236024845,0.127329193,0.059006211,0.02484472,0.304347826,0.226708075,0.02173913
cough yes,0.10443038,0.053797468,0.25,0.265822785,0.006329114,0.139240506,0.180379747
cough no,0.17539267,0.217277487,0.052356021,0.041884817,0.256544503,0.146596859,0.109947644
wheezeBlocks yes,0.064516129,0.17888563,0.269794721,0.225806452,0.005865103,0.140762463,0.114369501
wheezeBlocks no,0.218487395,0.109243697,0.019607843,0.06442577,0.274509804,0.145658263,0.168067227
headache yes,0.18852459,0,0.303278689,0.270491803,0.057377049,0.131147541,0.049180328
headache no,0.133680556,0.173611111,0.107638889,0.116319444,0.161458333,0.145833333,0.161458333
itching yes,0.171215881,0.248138958,0.022332506,0.00248139,0.248138958,0.062034739,0.245657568
itching no,0.105084746,0,0.305084746,0.33559322,0,0.254237288,0
swelling yes,0.195592287,0.275482094,0,0.002754821,0.261707989,0.013774105,0.250688705
swelling no,0.086567164,0,0.295522388,0.295522388,0.014925373,0.28358209,0.023880597
redrashes yes,0.195402299,0.287356322,0,0.002873563,0.267241379,0.002873563,0.244252874
redrashes no,0.091428571,0,0.282857143,0.282857143,0.02,0.282857143,0.04
FHistory yes,0.093851133,0.132686084,0.165048544,0.13592233,0.100323625,0.16828479,0.203883495
FHistory no,0.18251928,0.151670951,0.123393316,0.149100257,0.177377892,0.123393316,0.092544987
Sex m,0.155797101,0.06884058,0.15942029,0.184782609,0.170289855,0.148550725,0.112318841
Sex ?,0,0,0,0,0,1,0
Sex f,0.135391924,0.19239905,0.13064133,0.116389549,0.125890736,0.137767221,0.16152019
